Препарат,Сегмент,Месяц,"Продажи, уп",,,,,,,Сегмент,Препарат,"Продажи, уп",,,,,Сегмент,Продажи по сегменту,Доля продаж,,,,,Год,Полугодие,Средние продажи,Продажи
Препарат 2,FMCG,3/1/2023,4248,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,4/1/2023,1392,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,5/1/2023,3708,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 2,FMCG,6/1/2023,3012,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,1/1/2023,920,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,2/1/2023,1480,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,3/1/2023,791,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,5/1/2023,2840,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Комм,6/1/2023,1640,,,,,,,,,,,,,,,,,,,,,,,,
Препарат 3,Сеть,3/1/2023,120,,,,,,,,,,,,,,,,,,,,,,,,
